threshold,precision,recall
77.0,0.5830900929627904,0.6603333333333333
76.0,0.5828470553621341,0.6603333333333333
75.0,0.5826470588235294,0.6603333333333333
74.0,0.5822617385553678,0.6603333333333333
73.0,0.5803655731751604,0.6658888888888889
72.0,0.5806552789036865,0.6685277777777778
71.0,0.6050899019251725,0.7403611111111111
70.0,0.6045272063326453,0.7403611111111111
69.0,0.602640920704547,0.7403611111111111
68.0,0.6023412958484937,0.7403611111111111
67.0,0.6018652334929094,0.7403611111111111
66.0,0.6013899230578307,0.7403611111111111
65.0,0.5999954977263519,0.7403611111111111
64.0,0.5994961650059606,0.7403611111111111
63.0,0.5967432316144834,0.75125
62.0,0.5965194759363007,0.75125
61.0,0.5964668519253672,0.75125
60.0,0.5963090355867178,0.75125
59.0,0.5893373888431236,0.7750277777777778
